Tipo de material;Meio de divulgação;Entidade;Tipo de organização;Autor;Título;Palavras-chave ou descritores;Ano da produção;Ano da publicação;Edição;Local de publicação;Editora;Número de páginas/minutos;Disponível em;ISBN;ISSN
legislação;site;FUNDAÇÃO NACIONAL DO ÍNDIO- FUNAI;governamental;PRESIDENTE DA FUNDAÇÃO NACIONAL DO ÍNDIO;DISCIPLINA A EMISSÃO DOS DOCUMENTOS DENOMINADOS ATESTADO ADMINISTRATIVO E DECLARAÇÃO DE RECONHECIMENTO DE LIMITES;território, terras, limites;DE 20 DE ABRIL DE 2012;23.4.2012;;FUNDAÇÃO NACIONAL DO ÍNDIO- FUNAI;;2;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=44&data=23/04/2012;;1677-7042
legislação;site;PRESIDENTE DA REPÚBLICA;governamental;;Regularização fundiária das áreas urbanas situadas em terras da União no âmbito da Amazônia Legal - Decreto nº 7.341;fundiária, terras;22 DE OUTUBRO DE 2010;25.10.2010;;Diário Oficial da União;;5;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=1&data=25/10/2010;;1677-7042
legislação;site;Conselho das Cidades;governamental;Conselho das Cidades;Plano Diretor das Cidades – Resolução n.º 34;território, urbano, planeijamento ;1º DE JULHO DE 2005;14.07.2005;;Diário Oficial da União;;4;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=89&data=14/07/2005;;1677-7042
legislação;site;Presidência da República;governamental;;Regulamentação da administração dos bens imóveis da União – Decreto nº 3.725;bens imóveis, regulamentação ;10 DE JANEIRO DE 2001;11.1.2001;;Diário Oficial da União;;7;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=4&data=11/01/2001;;1415-1537
legislação;site;Presidência da República;governamental;;Terras de aldeamentos indígenas extintos – Medida Provisória nº 2.180-35;terras, aldeamento ;24 DE AGOSTO DE 2001;27.8.2001;;Diário Oficial da União;;14;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=44&data=27/08/2001;;1415-1537
legislação;site;Presidência da República;governamental;;Administração dos bens imóveis de domínio da União – Lei nº 9.636;bens imóveis;15 DE MAIO DE 1998;18.5.1998;;Diário Oficial da União;;21;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=33&data=18/05/1998;;.
legislação;site;Presidência da República;governamental;;Procedimento administrativo de demarcação de terras indígena – Decreto nº 1.775;demarcação, terras;8 DE JANEIRO DE 1996;16.2.1996;;Diário Oficial da União;;2;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=5&pagina=323&data=16/02/1996;;.
legislação;site;MINISTÉRIO DA JUSTIÇA;governamental;MINISTRO DE ESTADO DA JUSTIÇA;Relatório circunstanciado de identificação e delimitação de Terras Indígenas – Portaria MJ 14 ;delimitação, terras;09 de janeiro de 1996;9.1.1996;;FUNDAÇÃO NACIONAL DO ÍNDIO- FUNAI;;3;http://www.funai.gov.br/arquivos/conteudo/cogedi/pdf/LEGISLACAO_INDIGENISTA/Ordenamento-Territorial/Portaria-MJ-14-de-09-01-1996.pdf;;.
legislação;site;Presidência da República;governamental;;Contratação de servidores temporários para Funai – Lei nº 8.745;servidores, FUNAI;9 DE DEZEMBRO DE 1993;10.12.1993;;Diário Oficial da União;;6;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=1&data=10/12/1993;;1677-7042
legislação;site;Presidência da República;governamental;;Regulamentação do regime de permissão de lavra garimpeira – Decreto nº 98.812;garimpo;9 DE JANEIRO DE 1990;10.1.1990;;Diário Oficial da União;;5;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=41&data=12/03/1990;;1677-7042
legislação;site;Presidência da República;governamental;;Regime de permissão de lavra garimpeira – Lei nº 7.805;garimpo;18 DE JULHO DE 1989;20.7.1989 e retificada em 11.10.1989;;Casa Civil Subchefia para Assuntos Jurídicos;;4;http://www.planalto.gov.br/ccivil_03/Leis/L7805.htm;;1677-7042
legislação;site;Presidência da República;governamental;;Regulamentação da exploração de riquezas minerais em terras indígenas – Decreto nº 88.895;mineração;24 de Outubro de 1983;26.10.1983;;Diário Oficial da União;;1;http://www2.camara.leg.br/legin/fed/decret/1980-1987/decreto-88895-24-outubro-1983-438863-publicacaooriginal-1-pe.html;;1677-7042
legislação;site;Presidência da República;governamental;;Lei de Registros Públicos – Lei nº 6.015;registros;31 DE DEZEMBRO DE 1973;31.12.1973 e Republicado em 16.9.1975;;Diário Oficial da União;;44;http://www.planalto.gov.br/ccivil_03/leis/L6015original.htm;;1677-7042
legislação;site;Presidência da República;governamental;;Código de Mineração – Decreto-Lei nº 227;mineração;28 DE FEVEREIRO DE 1967;28.2.1967;;Diário Oficial da União;;30;http://www.planalto.gov.br/ccivil_03/decreto-lei/del0227.htm;;1677-7042
legislação;site;Presidência da República;governamental;;Bens móveis da União – Decreto-Lei nº 9.760;bens móveis;5 DE SETEMBRO DE 1946;6.9.1946;;Diário Oficial da União;;34;http://www.planalto.gov.br/ccivil_03/decreto-lei/del9760.htm;;1677-7042
legislação;site;Presidência da República;governamental;;Política Nacional de Gestão Territorial e Ambiental de Terras Indígenas - PNGATI  - Decreto nº 7.747;território, ambiente, terras;5 DE JUNHO DE 2012;6.6.2012;;Diário Oficial da União;;6;http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/decreto/d7747.htm;;1677-7042
legislação;site;Presidência da República;governamental;;Código Florestal - Lei nº 12651;proteção, vegetação nativa;25 DE MAIO DE 2012;28.5.2012;;Diário Oficial da União;;38;http://www.planalto.gov.br/ccivil_03/_Ato2011-2014/2012/Lei/L12651.htm;;1677-7042
legislação;site;Presidência da República;governamental;;Processo de licenciamento ambiental de empreendimentos ou atividades potencial e efetivamente causadoras de impactos ambientais e socioculturais que afetem terras e povos indígenas - Instrução Normativa Funai nº 1;impactos ambientais, socioculturais;9 DE JANEIRO DE 2012;12.1.2012;;Diário Oficial da União;;3;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=42&data=12/01/2012;;1677-7042
legislação;site;Presidência da República;governamental;;Estabelecimento de diretrizes e critérios a serem observados na concepção e execução das ações de proteção territorial e etnoambiental em terras indígenas Portaria Funai n° 1.682;território, etnoambiental ;8 DE DEZEMBRO DE 2011;13.12.2011;;Diário Oficial da União;;4;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=13/12/2011&jornal=1&pagina=57&totalArquivos=232;;1677-7042
legislação;site;Presidência da República;governamental;;Atuação dos órgãos e entidades da Administração Pública Federal envolvidos no licenciamento ambiental, de que trata o art. 14 da Lei nº 11.516;licenciamento, ambiental;26 DE OUTUBRO DE 2011;28.10.2011;;Diário Oficial da União;;38;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=28/10/2011&jornal=1&pagina=81&totalArquivos=208;;1677-7042
legislação;site;Presidência da República;governamental;;Regulamentação das sanções administrativas e penais ambientais – Decreto nº 6.514;ambiental;22 DE JULHO DE 2008;23.7.2008;;Diário Oficial da União;;31;http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/decreto/D6514.htm;;1677-7042
legislação;site;Presidência da República;governamental;;Organismos Geneticamente Modificados em terras indígenas – Lei nº 11.460;terras, geneticamente modificados ;21 DE MARÇO DE 2007;22.3.2007;;Diário Oficial da União;;2;http://www.planalto.gov.br/ccivil_03/_Ato2007-2010/2007/Lei/L11460.htm;;1677-7042
legislação;site;Presidência da República;governamental;;Plano Nacional de Áreas Protegidas – Decreto nº 5.758;terras, proteção;13 DE ABRIL DE 2006;17.4.2006;;Diário Oficial da União;;16;http://www.planalto.gov.br/ccivil_03/_Ato2004-2006/2006/Decreto/D5758.htm;;1677-7042
legislação;site;Presidência da República;governamental;;Regulamentação das sanções lesivas ao patrimônio genético – Decreto nº 5.459;genética;7 DE JUNHO DE 2005;8.6.2005;;Diário Oficial da União;;7;http://www.planalto.gov.br/ccivil_03/_Ato2004-2006/2005/Decreto/D5459.htm;;1677-7042
legislação;site;Presidência da República;governamental;;Programa Nacional da Diversidade Biológica – Decreto nº 4.703;diversidade biológica;21 DE MAIO DE 2003;22.5.2003;;Diário Oficial da União;;6;http://www.planalto.gov.br/ccivil_03/decreto/2003/D4703.htm;;1677-7042
legislação;site;Presidência da República;governamental;;Serviço voluntário em unidades de conservação – Decreto nº 4.519;voluntário, conservação ;13 DE DEZEMBRO DE 2002;16.12.2002;;Diário Oficial da União;;1;http://www.planalto.gov.br/ccivil_03/decreto/2002/D4519.htm;;1677-7042
legislação;site;Presidência da República;governamental;;Política Nacional de Biodiversidade – Decreto nº 4.339;biodiversidade;22 DE AGOSTO DE 2002;23.8.2002;;Diário Oficial da União;;24;http://www.planalto.gov.br/ccivil_03/decreto/2002/D4339.htm;;1677-7042
legislação;site;Presidência da República;governamental;;Regulamentação do Sistema Nacional de Unidades de Conservação – Decreto nº 4.340;conservação, natureza ;22 DE AGOSTO DE 2002;23.8.2002;;Diário Oficial da União;;9;http://www.planalto.gov.br/ccivil_03/decreto/2002/d4340.htm;;1677-7042
legislação;site;Presidência da República;governamental;;Zoneamento Econômico Ecológico – Decreto nº 4.297;ecologia;10 DE JULHO DE 2002;11.7.2002;;Diário Oficial da União;;6;http://www.planalto.gov.br/ccivil_03/decreto/2002/d4297.htm;;1677-7042
legislação;site;Presidência da República;governamental;;Conselho de Gestão do Patrimônio Genético – Decreto nº 3.945;genética;28 DE SETEMBRO DE 2001;3.10.2001;;Diário Oficial da União;;13;http://www.planalto.gov.br/ccivil_03/decreto/2001/d3945.htm;;1677-7042
legislação;site;Presidência da República;governamental;;Acesso ao patrimônio genético – Medida Provisória nº 2.186-16;genética;23 DE AGOSTO DE 2001;24.8.2001;;Diário Oficial da União;;12;http://www.planalto.gov.br/ccivil_03/mpv/2186-16.htm;;1677-7042
legislação;site;Presidência da República;governamental;;Sistema Nacional de Unidades de Conservação – Lei nº 9.985;conservação, natureza ;18 DE JULHO DE 2000;19.7.2000;;Diário Oficial da União;;16;http://www.planalto.gov.br/ccivil_03/leis/l9985.htm;;1677-7042
legislação;site;Presidência da República;governamental;;Programa Nacional de Florestas – Decreto nº 3.420;florestas;20 DE ABRIL DE 2000;22.4.2000;;Diário Oficial da União;;5;http://www.planalto.gov.br/ccivil_03/decreto/D3420.htm;;1677-7042
legislação;site;Presidência da República;governamental;;Convenção sobre Diversidade Biológica – Decreto nº 2.519;diversidade biológica;16 DE MARÇO DE 1998;17.3.1998;;Diário Oficial da União;;2;http://www.planalto.gov.br/ccivil_03/decreto/D2519.htm;;1677-7042
legislação;site;Presidência da República;governamental;;Lei de crimes ambientais – Lei nº 9.605;ambiental, crimes;12 DE FEVEREIRO DE 1998;13.2.1998;;Diário Oficial da União;;18;http://www.planalto.gov.br/ccivil_03/leis/l9605.htm;;1677-7042
legislação;site;Presidência da República;governamental;;Licenciamento ambiental – Resolução CONAMA nº 237;ambiental;19 DE DEZEMBRO DE 1997;;;;;10;http://www.mma.gov.br/port/conama/res/res97/res23797.html;;.
legislação;site;Presidência da República;governamental;;Programa piloto para proteção de florestas tropicais – Decreto nº 2.119;proteção, florestal;13 DE JANEIRO DE 1997;14.1.1997;;Diário Oficial da União;;3;http://www.planalto.gov.br/ccivil_03/decreto/D2119.htm;;1677-7042
legislação;site;Presidência da República;governamental;;Política Nacional de Recursos Hídricos – Lei nº 9.433;hídrico ;8 DE JANEIRO DE 1997;9.1.1997;;Diário Oficial da União;;13;http://www.planalto.gov.br/ccivil_03/LEIS/l9433.htm;;1677-7042
legislação;site;Presidência da República;governamental;;Exploração da Mata Atlântica – Decreto nº 750;exploração, mata atlântica;10 de FEVEREIRO de 1993;;;;;4;http://www.siam.mg.gov.br/sla/download.pdf?idNorma=695;;.
legislação;site;Presidência da República;governamental;;Compensação ambiental em projetos e obras federais – Decreto nº 95.733;natureza ambiental, cultural, social;12 DE FEVEREIRO DE 1988;18.2.1988;;Diário Oficial da União;;1;http://www.planalto.gov.br/ccivil_03/decreto/Antigos/D95733.htm;;1677-7042
legislação;site;Presidência da República;governamental;;Diretrizes para a Avaliação de Impacto Ambiental – Resolução CONAMA nº 001;impactos ambientais;23 de JANEIRO de 1986;17.2.1986;;Diário Oficial da União;;4;http://www.mma.gov.br/port/conama/res/res86/res0186.html;;1677-7042
legislação;site;Presidência da República;governamental;;Política Nacional do Meio Ambiente, seus fins e mecanismos de formulação e aplicação - Lei nº. 6.938;meio ambiente;31 DE AGOSTO DE 1981;2.9.1981;;Diário Oficial da União;;27;http://www.planalto.gov.br/ccivil_03/leis/L6938compilada.htm;;1677-7042
legislação;site;Presidência da República;governamental;;Lei de proteção à fauna – Lei nº 5.197;proteção de fauna;3 DE JANEIRO DE 1967;5.1.1967;;Diário Oficial da União;;6;http://www.planalto.gov.br/ccivil_03/leis/l5197.htm;;1677-7042
legislação;site;CÂMARA DE EDUCAÇÃO BÁSICA;governamental;;Diretrizes Curriculares Nacionais para a Educação Escolar Indígena na Educação Básica - Resolução CNE/CEB nº 5;educação básica;22 DE JUNHO DE 2012;25.6.2012;;Diário Oficial da União;;3;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=25/06/2012&jornal=1&pagina=7&totalArquivos=132;;1677-7042
legislação;site;Presidência da República;governamental;;Alteração da Lei de Diretrizes e Bases da Educação Nacional, para dispor sobre a oferta de educação superior para os povos indígenas - Lei nº 12.416;Diretrizes e Bases da Educação Nacional;9 DE JUNHO DE 2011;10.6.2011;;Diário Oficial da União;;1;http://www.planalto.gov.br/ccivil_03/_Ato2011-2014/2011/Lei/L12416.htm;;1677-7042
legislação;site;MINISTÉRIO DA EDUCAÇÃO;governamental;;Estabelecimento de critérios e formas de transferência de recursos financeiros do Programa Nacional de Apoio ao Transporte do Escolar (Pnate) - Resolução FNDE nº 12;finanças, transporte escolar;17 DE MARÇO DE 2011;;;;;16;http://www.funai.gov.br/arquivos/conteudo/cogedi/pdf/LEGISLACAO_INDIGENISTA/Educacao/Resolucao-FNDE-n-12-de-17-03-2011.pdf;;.
legislação;site;Fundo Nacional de Desenvolvimento da Educação- FNDE;governamental;;Processos de adesão e habilitação e formas de execução e prestação de contas referentes ao Programa Dinheiro Direto na Escola (PDDE) - Resolução CD/FNDE nº 3;prestação de contas;01 de MARÇO DE 2010;5.4.2010;;Diário Oficial da União;;30;http://www.legisweb.com.br/legislacao/?id=114046;;.
legislação;site;FUNDAÇÃO NACIONAL DO ÍNDIO- FUNAI;governamental;;Orientações para a seleção dos Estudantes Indígenas no Ensino Superior ao recebimento de apoio financeiro da Funai e sua manutenção - Portaria Funai nº 849/PRES;seleção, estudantes, ensino superior ;04 DE AGOSTO DE 2009;;;;;3;http://www.funai.gov.br/arquivos/conteudo/cogedi/pdf/LEGISLACAO_INDIGENISTA/Educacao/PORTARIA-N-849-de-04-08-2009..pdf;;.
legislação;site;Presidência da República;governamental;;Disposições sobre a Educação Escolar Indígena, sua organização em territórios Etnoeducacionais, entre outras providências - Decreto nº 6.861;educação escolar indigena ;27 DE MAIO DE 2009;28.4.2009;;Diário Oficial da União;;3;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=23&data=28/05/2009;;1677-7042
legislação;site;MINISTÉRIO DA EDUCAÇÃO;governamental;;Assistência financeira suplementar aos projetos educacionais que promovam o acesso e a permanência na universidade de estudantes de baixa renda e grupos socialmente discriminados - Resolução CD/FNDE nº 6;projetos educacionais ;17 DE MARÇO DE 2009;;;;;2;http://www.funai.gov.br/arquivos/conteudo/cogedi/pdf/LEGISLACAO_INDIGENISTA/Educacao/RESOLUCAO-CD-FNDE-N-06-DE-17-03-2009.pdf;;.
legislação;site;Presidência da República;governamental;;Assistência financeira para instituições públicas de ensino superior e entidades de direito privado sem fins lucrativos para execução de projetos educacionais no âmbito da educação básica intercultural indígena - Resolução nº 5;finanças, ensino superior ;17 DE MARÇO DE 2009;;;;;1;http://www.fnde.gov.br/fnde/legislacao/resolucoes/item/3289-resolu%C3%A7%C3%A3o-cd-fnde-n%C2%BA-5-de-17-de-mar%C3%A7o-de-2009;;.
legislação;site;Presidência da República;governamental;;Inclusão no currículo oficial da rede de ensino da obrigatoriedade da temática “História e Cultura Afro-Brasileira e Indígena” - Lei nº 11.645;história e cultura afro-brasileira e indígena;10 MARÇO DE 2008;11.3.2008;;Diário Oficial da União;;1;http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/lei/l11645.htm;;1677-7042
legislação;site;Presidência da República;governamental;;Programa Territórios da Cidadania – Decreto s/n;território, cidadania ;25 DE FEVEREIRO DE 2008;26.2.2008;;Diário Oficial da União;;2;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=26/02/2008&jornal=1&pagina=1&totalArquivos=64;;1677-7042
legislação;site;Presidência da República;governamental;;Regulamentação do PROUNI – Decreto nº 5.493;regulamentos;18 DE JULHO DE 2005;19.7.2005;;Diário Oficial da União;;4;http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2005/Decreto/D5493.htm;;1677-7042
legislação;site;Presidência da República;governamental;;Programa Universidade para Todos – PROUNI – Lei nº 11.096;universidade, prouni;13 DE JANEIRO DE 2005;14.1.2005;;Diário Oficial da União;;7;http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2005/lei/L11096.htm;;1677-7042
legislação;site;Presidência da República;governamental;;Regulamentação do Programa Diversidade na Universidade – Decreto nº 4.876;projetos inovadores, bolsas, financiamentos ;12 DE NOVEMBRO DE 2003;13.11.2003;;Diário Oficial da União;;3;http://www.planalto.gov.br/ccivil_03/decreto/2003/d4876.htm;;1677-7042
legislação;site;Presidência da República;governamental;;Critérios para o repasse de recursos financeiros à conta do PNAE – Resolução FNDE/CD nº 045;educação infântil e fundamental;31 DE OUTUBRO DE 2003;;;;;1;http://www.fnde.gov.br/fnde/legislacao/resolucoes/item/4252-resolu%C3%A7%C3%A3o-cd-fnde-n%C2%BA-45,-de-31-de-outubro-de-2003;;.
legislação;site;Presidência da República;governamental;;Programa Diversidade na Universidade – Lei nº 10.558;diversidade, universidade;13 DE NOVEMBRO DE 2002;14.11.2002;;Diário Oficial da União;;1;http://www.planalto.gov.br/ccivil_03/leis/2002/L10558.htm;;1677-7042
legislação;site;Presidência da República;governamental;;Plano Nacional de Educação - Lei nº 10.172;Plano Nacional de Educação;9 DE JANEIRO DE 2001;10.01.2001;;Diário Oficial da União;;62;http://www.planalto.gov.br/ccivil_03/leis/leis_2001/l10172.htm;;1677-7042
legislação;site;MINISTÉRIO DA EDUCAÇÃO;governamental;;Diretrizes Nacionais para o funcionamento das escolas indígenas - Resolução CNE/CEB n.º 3;escolas indigenas;10 DE NOVEMBRO DE 1999;;;;;3;http://www.funai.gov.br/arquivos/conteudo/cogedi/pdf/LEGISLACAO_INDIGENISTA/Educacao/RESOLUCAO-CEB-N-3-DE-10-11-1999.pdf;;1677-7042
legislação;site;MINISTÉRIO DA EDUCAÇÃO;governamental;;Diretrizes Nacionais para o funcionamento das escolas indígenas - Parecer CNE/CEB nº 14/1999;escolas indigenas;14 DE SETEMBRO DE 1999;19.10.1999;;Diário Oficial da União;;36;http://www.funai.gov.br/arquivos/conteudo/cogedi/pdf/LEGISLACAO_INDIGENISTA/Educacao/Parecer-CNE-CEB-n-14-de-14-09-1999.pdf;;1677-7042
legislação;site;Presidência da República;governamental;;Diretrizes e bases da educação nacional - LDB – Lei nº 9.394;escolas indigenas;20 DE DEZEMBRO DE 1996;23.12.1996;;Diário Oficial da União;;28;http://www.planalto.gov.br/ccivil_03/leis/l9394.htm;;1677-7042
legislação;site;MINISTÉRIO DA EDUCAÇÃO;governamental;;Criação da Coordenação Nacional de Educação Indígena – Portaria Interministerial MJ/MEC nº 559;escolas indigenas;16 DE ABRIL DE 1991;;;;;2;http://www.indigena.mppr.mp.br/modules/conteudo/conteudo.php?conteudo=40;;.
